"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","20.7218453188602","20.6748626732932","19.6611787162968","17.9639330582727","17.8364344439637","15.719620099034","15.2858191307184","17.484333034915","15.2912194263593","15.0332260626071","14.7409089098658","14.9141368926508","15.4103992960992","15.1515151515152","14.7001481712548","14.8354231974922","14.2106031838762","15.1574659975271","14.9758107865974","15.2019084497303","15.2620309593176","15.8133920329475","15.1164004593381","15.6108056418838","16.4154652686763","15.840924239058","15.6262305012873","15.1406785672065","16.1839548440825","15.808278075514","14.8726443273774","14.9657534246575","15.052770777714","14.8538038815591","15.512638982382","16.0933184194307","16.6023334423727","16.114839520691","16.7546229840412","17.4146662823733","18.9079394179288","18.8303600128576","19.7454796729241","18.9501089405074","","","","","","",
"Afghanistan","AFG","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","49.0842490842491","48.6979166666667","47.6300578034682","47.4604041507373","47.5644699140401","48.4762291751321","52.648193616275","52.4924924924925","52.2446520036155","52.2739432851792","49.8773908778813","48.6048604860486","47.8690685413005","47.3696516249708","45.0369706475465","45.7906976744186","43.888508110578","45.1790028552603","45.7366022998481","45.6747404844291","48.2766288636869","48.5659287776708","46.2784498667214","44.3555758683729","46.8716634635917","47.6480670348505","51.1469838572642","46.4557399723375","46.6024096385542","47.588908981314","49.8423577793009","50.438653921697","51.119023397762","52.262443438914","48.9530685920578","46.140284598917","44.4655041698256","47.117296222664","51.8288131375964","48.836721861245","44.2744323790721","43.8793341304148","43.3882054992764","41.9675988777265","","","","","","",
"Angola","AGO","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","63.5802469135802","71.25","65.9090909090909","57.7777777777778","56.1224489795918","57.2164948453608","43.046357615894","51.5503875968992","41.3385826771654","37.593984962406","34.5238095238095","39.0909090909091","33.6206896551724","31.390134529148","36.8794326241135","37.1841155234657","36.4912280701754","38.6292834890966","39.3939393939394","26.0204081632653","31.4214463840399","30.5912596401028","28.6729857819905","36.8421052631579","27.3657289002558","23.6276849642005","24.2494226327945","22.2520107238606","24.4725738396624","23.110151187905","23.8568588469185","26.9090909090909","38.9518413597734","42.4324324324324","39.8373983739837","39.5151515151515","40.0414937759336","43.6917866215072","41.0958904109589","42.3661599471249","44.092039800995","44.5209768315592","45.1327433628319","43.9896373056995","","","","","","",
"Albania","ALB","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","18.9119170984456","17.5280898876404","20.1530612244898","20.1946472019465","19.815668202765","21.3675213675214","20.7661290322581","19.9288256227758","18.8059701492537","21.7327459618209","14.017094017094","13.911620294599","13.963963963964","18.2825484764543","15.5619596541787","14.5114942528736","14.5027624309392","16.0390516039052","14.0350877192982","12.5220458553792","13.9107611548556","19.1588785046729","25.7575757575758","31.0344827586207","34.054054054054","33.3333333333333","34.2657342657343","42.0454545454545","47.945205479452","47.7272727272727","47.8260869565217","47.2","50","57.356608478803","62.0418848167539","50.6596306068601","55.5555555555556","61.455525606469","61.0079575596817","56.7430025445293","56.5217391304348","64.6551724137931","67.3076923076923","59.9514563106796","","","","","","",
"Andorra","AND","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","23.7316034082107","24.3889755590224","24.4379354021533","24.8206911540969","24.7127568774211","25.2403986246285","25.9934620492389","27.4155640668524","25.2863342107135","24.3132922075929","25.7295095687106","26.2299655102455","27.798568554989","29.3082285370203","29.5347389022329","27.3639058853214","27.3312088042596","27.0775288829451","26.8743931503222","27.6186028130557","27.9550529424476","27.59027266028","26.6283408670327","26.2136061439707","25.1012429410199","25.0171858361752","24.206029443741","24.8150981892374","24.9763600832125","25.332192408777","24.4827270856673","24.6699760581633","24.474904382385","24.4580260632387","24.3573107663376","24.5860511791269","25.1687460769224","24.9566600397614","25.0928960094447","24.95702498281","24.7884640788714","25.0645673821931","24.9803939360551","24.7442884873824","","","","","","",
"United Arab Emirates","ARE","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","16.6666666666667","20.9302325581395","23.8390092879257","29.9703264094955","33.5365853658537","34.2229199372057","21.6037735849057","20.8163265306122","22.7743271221532","36.2122788761707","35.1050150021432","35.5242566510172","37.5860672336979","30.8030112923463","26.4177428411005","23.4382808595702","22.9081863410222","23.036303630363","20.8004618048874","21.7659533449007","19.6280642434489","20.8664898320071","21.1444873300889","19.0330944029282","18.8110281447444","18.2368312474213","17.2211350293542","16.8728478510394","16.8341396849026","18.6020293122886","17.5961954172071","19.8434525068754","21.119773210489","20.059053243166","20.4662046620466","20.7963832376978","19.798630688683","17.8590933915893","17.891156462585","17.8517298187809","17.4186251099661","18.2283696291936","18.9312273015507","21.0397309468164","","","","","","",
"Argentina","ARG","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","29.2399078676203","30.8714388316974","30.0847457627119","30.439761795694","29.7183098591549","28.2883689689914","29.2903225806452","30.2501895375284","31.0620831195485","32.8149626983293","33.3297861019474","34.0181660899654","33.3403716216216","32.2314049586777","29.948717948718","29.7356143079316","29.0022743004054","25.9641550154828","26.4495176234597","28.6174280539344","28.5987017945781","30.1398142066248","33.2929556466642","32.3237597911227","32.6541052093103","31.6055119371896","31.0321100917431","31.3829787234042","29.5046661880833","28.8903244329601","28.3806862288465","28.0075651673382","26.7334301658895","25.858186036989","26.5140868634143","26.3310440425934","25.6447424050251","25.5363713557883","24.0184757505774","24.9827308312227","27.1829120211944","26.2837437361927","25.2834780684772","24.1671430798815","","","","","","",
"Armenia","ARM","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.9193548387097","14.0232108317215","17.1830985915493","24.1869918699187","5.97014925373134","3.26409495548961","2.5","1.89873417721519","2.13414634146341","2.38907849829352","16.6666666666667","16.4739884393064","18.5567010309278","18.0428134556575","17.6300578034682","16.2227602905569","15.9036144578313","22.0833333333333","23.9089184060721","26.6978922716628","31.1111111111111","27.6231263383298","23.8970588235294","24.4274809160305","27.7777777777778","","","","","","",
"American Samoa","ASM","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","24.6127755794234","23.6504135829343","23.9764235343648","24.5131160572337","24.4197018305341","24.2408002858164","23.8209569542103","23.8535833130428","24.0820402519588","24.6719929634245","22.9329944220857","23.2770647321429","23.1386025200458","24.1377124017246","22.6975018837304","22.6859849540262","23.1031449307236","22.8370169976009","24.7056360877074","24.4857635018746","23.9769759117732","24.3140280657761","24.1330899901727","25.2849638219843","25.5791598577333","24.8784919373155","25.3837125315999","24.6635610766046","24.656396628327","24.069049585152","23.8786432064067","23.2045045390125","23.4146893507865","23.4869888475836","23.5760529570088","23.6656737340109","23.6648188209843","23.5435772250445","22.0444718962322","22.1249163777899","22.4081266806095","21.8162624989004","21.8102633162374","21.6516465453721","21.5927996727124","21.3271671327167","21.5264343447728","21.5666537617757","21.8643415822541","21.4610373213474","22.4854957128921","23.2937532266391","23.4803275723992","24.0994988515348","24.7445021135427","","","","","","",
"Austria","AUT","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","18.0203880302532","18.5970636215334","18.5684336627733","17.9007323026851","18.2059447983015","19.2872687704026","20.1133909287257","20.4340921122287","19.7183098591549","20.5820721769499","18.9195006457167","19.6296296296296","20.6944444444444","20.724907063197","20.1291079812207","20.9983831851253","19.5958472376715","21.473109898675","21.9198508853681","22.128801431127","21.2366580787633","21.0669253152279","21.6596343178622","22.5754201255315","21.3697017268446","21.1246200607903","22.2932403641294","22.3176785032455","24.7764752632625","25.7244938467646","24.2181947405828","24.8966087675765","27.1091923007735","27.2759856630824","27.1789398790466","26.0110756838396","27.0415416205971","25.8998560230363","28.9878029463013","28.9640591966173","29.982220785518","30.2536231884058","32.4648408586232","32.2673620642328","32.2336398053002","32.9309188464118","32.4151363383417","33.8802533103051","32.1844032744507","33.9195979899498","32.3430901412553","32.3749625636418","33.7871674491393","35.4662930094971","36.6238894373149","","","","","","",
"Azerbaijan","AZE","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5952870768655","9.14681014604151","9.42951438000943","9.87951807228916","9.73850315599639","10.3213844252163","10.0147819660015","12.2619954303123","11.4285714285714","6.09472049689441","8.64468864468864","10.0658149438637","11.4856918855351","11.3227893601725","13.8321167883212","14.5122371596001","16.4681864579789","14.1251405020607","16.5625","17.2920065252855","21.0369740756481","21.8986384266263","22.1529941156109","24.7538200339559","24.4884702825593","","","","","","",
"Burundi","BDI","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","8.10779947470595","8.39416058394161","7.90193602693603","7.18273871486704","7.62336160370085","8.05084745762712","7.88158023723164","8.54767726161369","8.80755187461038","8.75544545998121","9.4563235537875","10.0322252374491","9.88194824485967","9.73537813862577","9.59731030793918","11.6277056277056","11.4535677020628","12.1342303639459","11.941574081268","12.3081575565132","12.6294820717131","13.4225854125011","14.3935210749126","16.006006006006","15.7305577376277","16.2654779593858","17.6906361122086","18.213228035538","19.3611030197107","19.5418823078398","19.1435294117647","18.5809592499098","19.6628183983874","20.7038177914683","20.437695399732","20.4514915345337","20.0582141939902","20.7512315270936","20.7949754796524","21.6684434968017","21.4918824045634","22.0129077271934","23.4604651162791","23.1460874209917","24.1941292994778","24.1051454138702","24.2869490060501","25.1955083216363","26.2239784117194","27.4940433026002","25.1827242524917","28.4127323221534","26.6579691237225","26.0599571734475","28.628663003663","","","","","","",
