"año";"sector";"actividad";"subactividad";"categoria";"gei";"emisiones";"unidad"
"1990";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Ganadería";"Fermentación Entérica ";"Bovinos de Carne";"CH4";"52.39";"MtCO2eq"
"1990";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Ganadería";"Fermentación Entérica ";"Bovinos Lecheros";"CH4";"4.2";"MtCO2eq"
"1990";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Ganadería";"Fermentación Entérica ";"Otras Ganaderías";"CH4";"3.68";"MtCO2eq"
"1990";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Ganadería";"Gestión de Estiércol ";"Bovinos";"N2O";"";"MtCO2eq"
"1990";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Ganadería";"Gestión de Estiércol ";"Bovinos de Carne";"CH4";"1.03";"MtCO2eq"
"1990";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Ganadería";"Gestión de Estiércol ";"Bovinos de Carne";"N2O";"";"MtCO2eq"
"1990";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Ganadería";"Gestión de Estiércol ";"Bovinos Lecheros";"CH4";"0.04";"MtCO2eq"
"1990";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Ganadería";"Gestión de Estiércol ";"Otras Ganaderías";"CH4";"0.21";"MtCO2eq"
"1990";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Ganadería";"Gestión de Estiércol ";"Otras Ganaderías";"N2O";"0";"MtCO2eq"
"1990";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Tierra ";"Pastizales";"Pastizales que permanecen como tales";"CO2";"";"MtCO2eq"
"1990";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Tierra ";"Pastizales";"Suelos cultivados convertidos en pastizales";"CO2";"";"MtCO2eq"
"1990";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Tierra ";"Pastizales";"Tierras forestales convertidas en pastizales";"CO2";"";"MtCO2eq"
"1990";"Agricultura, Ganadería, Silvicultura y Otros Usos de la Tierra ";"Tierra ";"Tierras de Cultivo";"Pastizales convertidos en suelos cultivados";"CO2";"";"MtCO2eq"
