"año";"energía";"procesos_industriales";"agricultura_ganadería_silvicultura_otros";"residuos";"unidad_de_medida"
"1990";"95.46";"8.37";"158.82";"7.64";" MtCO2eq"
"1991";"100.48";"7.77";"186.21";"7.92";" MtCO2eq"
"1992";"104.24";"7.67";"188.59";"8.18";" MtCO2eq"
"1993";"105.27";"8.3";"178.68";"8.57";" MtCO2eq"
"1994";"110.12";"9.45";"178.62";"8.87";" MtCO2eq"
"1995";"112.31";"9.27";"182.66";"9.2";" MtCO2eq"
"1996";"127.75";"9.81";"201.38";"9.54";" MtCO2eq"
"1997";"128.2";"11.21";"203.72";"9.89";" MtCO2eq"
"1998";"135.75";"11.3";"218.35";"10.2";" MtCO2eq"
"1999";"138.16";"10.69";"208.24";"10.47";" MtCO2eq"
"2000";"134.87";"10.43";"211.03";"10.82";" MtCO2eq"
"2001";"131.39";"10.82";"216.46";"11.25";" MtCO2eq"
"2002";"124.06";"10.66";"228.17";"11.47";" MtCO2eq"
"2003";"133.27";"12.45";"236.86";"11.87";" MtCO2eq"
"2004";"144.98";"13.8";"240.19";"12.21";" MtCO2eq"
"2005";"149.12";"15.06";"226.29";"12.68";" MtCO2eq"
"2006";"157.21";"15.62";"240.55";"13.05";" MtCO2eq"
"2007";"171.57";"16.3";"240.52";"13.05";" MtCO2eq"
"2008";"176.89";"16.29";"212.7";"12.79";" MtCO2eq"
"2009";"164.55";"14.36";"178.06";"12.52";" MtCO2eq"
"2010";"178.66";"16.66";"177.65";"12.73";" MtCO2eq"
"2011";"187.2";"18.07";"160.86";"13.06";" MtCO2eq"
"2012";"187.64";"17.21";"194.82";"13.52";" MtCO2eq"
"2013";"190.47";"19.41";"196.1";"13.98";" MtCO2eq"
"2014";"187.19";"20.86";"162.41";"14.51";" MtCO2eq"
"2015";"192.89";"21.72";"135.83";"15";" MtCO2eq"
"2016";"193.42";"20.05";"135.53";"15.44";" MtCO2eq"
