pcode,name
1,Live animals
2,Meat and edible meat offal
3,"Fish and crustaceans, molluscs and other aquatic invertebrates"
4,Dairy produce; birds eggs; natural honey;
5,"Products of animal origin, not elsewhere specified"
6,Live trees and other plants;
7,Edible vegetables and certain roots and tubers
8,Edible fruit and nuts; peel of citrus fruit or melons
9,"Coffee, tea, matF and spices"
10,Cereals
11,Products of the milling industry; malt; starches; inulin
12,Oil seeds and oleaginous fruits
13,"Lac; gums, resins and other vegetable saps and extracts"
14,Vegetable plaiting materials; vegetable products nes
15,Animal or vegetable fats and oils
16,"Preparations of meat, of fish or of crustaceans"
17,Sugars and sugar confectionery
18,Cocoa and cocoa preparations
19,"Preparations of cereals, flour, starch or milk; bakers' wares"
20,"Preparations of vegetables, fruit or nuts"
21,Miscellaneous edible preparations
22,"Beverages, spirits and vinegar"
23,Residues and waste from the food industries
24,Tobacco and manufactured tobacco substitutes
25,Salt; sulfur; earths and stone; plastering materials
26,"Ores, slag and ash"
27,"Mineral fuels, mineral oils and products of their distillation"
28,Inorganic chemicals
29,Organic chemicals
30,Pharmaceutical products
31,Fertilizers
32,Tanning or dyeing extracts
33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"
34,"Soap, organic surface-active agents"
35,Albuminoidal substances; modified starches; glues; enzymes
36,Explosives; pyrotechnic products; matches
37,Photographic or cinematographic goods
38,Miscellaneous chemical products
39,Plastics and articles thereof
40,Rubber and articles thereof
41,Raw hides and skins (other than fur skins) and leather
42,Articles of leather; saddlery and harness
43,Fur skins and artificial fur; manufactures thereof
44,Wood and articles of wood; wood charcoal
45,Cork and articles of cork
46,"Manufactures of straw, of esparto or of other plaiting materials"
47,Pulp of wood or of other fibrous cellulose material
48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard"
49,"Printed books, newspapers, pictures and other products of the printing indu ..."
50,Silk
51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"
52,Cotton
53,Other vegetable textile fibers; paper yarn and woven fabric of paper yarn
54,Man-made filaments
55,Man-made staple fibers
56,"Wadding, felt and non-wovens; special yarns, twine, cordage, ropes and cabl ..."
57,Carpets and other textile floor coverings
58,"Special woven fabrics; tufted textile fabrics; lace, tapestries; trimmings; ..."
59,"Impregnated, coated, covered or laminated textile fabrics"
60,Knitted or crocheted fabrics
61,"Articles of apparel and clothing accessories, knitted or crocheted"
62,"Articles of apparel and clothing accessories, not knitted or crocheted"
63,Other made up textile articles; sets; worn clothing and worn textile articl ...
64,"Footwear, gaiters and the like; parts of such articles"
65,Headgear and parts thereof
66,"Umbrellas, sun umbrellas, walking sticks, seat sticks, whips, riding-crops"
67,Prepared feathers and down and articles made of feathers or of down
68,"Articles of stone, plaster, cement, asbestos, mica or similar materials"
69,Ceramic products
70,Glass and glassware
71,"Natural or cultured pearls, precious or semi-precious stones"
72,Iron and steel
73,Articles of iron or steel
74,Copper and articles thereof
75,Nickel and articles thereof
76,Aluminum and articles thereof
77,(Reserved for possible future use)
78,Lead and articles thereof
79,Zinc and articles thereof
80,Tin and articles thereof
81,Other base metals; cermets; articles thereof
82,"Tools, implements, cutlery, spoons and forks, of base metal"
83,Miscellaneous articles of base metal
84,Machinery and mechanical appliances; parts thereof
85,Electrical machinery and equipment and parts thereof; sound recorders and r ...
86,"Railway or tramway locomotives, rolling-stock and parts thereof"
87,Vehicles other than railway or tramway rolling stock
88,"Aircraft, spacecraft, and parts thereof"
89,"Ships, boats and floating structures"
90,"Optical, photographic, cinematographic, measuring, checking, precision, med ..."
91,Clocks and watches and parts thereof
92,Musical instruments; parts and accessories of such articles
93,Arms and ammunition; parts and accessories thereof
94,"Furniture; bedding, mattresses, cushions and similar stuffed furnishing"
95,"Toys, games and sports requisites; parts and accessories thereof"
96,Miscellaneous manufactured articles
97,"Works of art, collectors' pieces and antiques"
99,Commodities not specified according to kind
101,"Live horses, asses, mules and hinnies."
102,Live bovine animals.
103,Live swine.
104,Live sheep and goats.
105,Live poultry
106,Other live animals.
201,"Meat of bovine animals, fresh or chilled."
202,"Meat of bovine animals, frozen."
203,"Meat of swine, fresh, chilled or frozen."
204,"Meat of sheep or goats, fresh, chilled or frozen."
205,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen."
206,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules"
207,"Meat and edible offal, of the poultry of heading 01.05"
208,"Other meat and edible meat offal, fresh, chilled or frozen."
209,"Pig fat, free of lean meat, and poultry fat"
210,"Meat and edible meat offal, salted, in brine, dried or smoked"
301,Live fish.
302,"Fish, fresh or chilled, excluding fish fillets"
303,"Fish, frozen, excluding fish fillets"
304,Fish fillets and other fish meat (whether or not minced)
305,"Fish, dried, salted or in brine;"
306,"Crustaceans, whether in shell or not"
307,"Molluscs, whether in shell or not"
401,"Milk and cream, not concentrated nor containing added sugar"
402,"Milk and cream, concentrated or containing added sugar"
403,"Buttermilk, curdled milk and cream or yogurt"
404,"Whey, whether or not concentrated or containing added sugar"
405,Butter and other fats and oils derived from milk; dairy spreads.
406,Cheese and curd.
407,"Birds' eggs, in shell, fresh, preserved or cooked."
408,"Birds' eggs, not in shell, and egg yolks"
409,Natural honey.
410,"Edible products of animal origin, not elsewhere specified"
501,"Human hair, unworked, whether or not washed or scoured; waste of human hair ..."
502,"Pigs', hogs' or boars' bristles and hair;"
503,Horsehair and horsehair waste
504,"Guts, bladders and stomachs of animals (other than fish)"
505,"Skins and other parts of birds, with their feathers or down"
506,"Bones and horn-cores, unworked, defatted"
507,"Ivory, tortoise-shell, whalebone, horns, antlers, hooves, nails, etc"
508,"Coral and similar materials, unworked or simply prepared"
509,Natural sponges of animal origin.
510,"Ambergris, castoreum, civet and musk;"
511,Animal products not elsewhere specified or included;
601,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes"
602,"Other live plants (including their roots), cuttings and slips"
603,Cut flowers and flower buds of a kind suitable for bouquets
604,"Foliage, branches and other parts of plants"
701,"Potatoes, fresh or chilled."
702,"Tomatoes, fresh or chilled."
703,"Onions, shallots, garlic, leeks and other alliaceous vegetables"
704,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas"
705,Lettuce (Lactuca sativa) and chicory (Cichorium spp.)
706,"Carrots, turnips and similar edible roots,"
707,"Cucumbers and gherkins, fresh or chilled."
708,"Leguminous vegetables, shelled or unshelled, fresh or chilled."
709,"Other vegetables, fresh or chilled."
710,"Vegetables (uncooked), frozen."
711,Vegetables provisionally preserved
712,"Dried vegetables, whole, cut, sliced, broken or in powder"
713,"Dried leguminous vegetables, shelled"
714,"Manioc, arrowroot, sweet potatoes and similar roots"
801,"Coconuts, Brazil nuts and cashew nuts, fresh or dried"
802,"Other nuts, fresh or dried"
803,"Bananas, including plantains"
804,"Dates, figs, pineapples, avocados and mangosteens, fresh or dried."
805,"Citrus fruit, fresh or dried."
806,"Grapes, fresh or dried."
807,"Melons (including watermelons) and papaws (papayas), fresh."
808,"Apples, pears and quinces, fresh."
809,"Apricots, cherries, peaches (including nectarines), plums and sloes, fresh. ..."
810,"Other fruit, fresh"
811,Fruit and nuts
812,"Fruit and nuts, provisionally preserved"
813,"Fruit, dried"
814,Peel of citrus fruit or melons (including watermelons)
901,"Coffee, whether or not roasted or decaffeinated"
902,"Tea, whether or not flavoured."
903,MatF
904,Pepper of the genus Piper
905,Vanilla
906,Cinnamon and cinnamon-tree flowers.
907,"Cloves (whole fruit, cloves and stems)"
908,"Nutmeg, mace and cardamoms"
909,"Seeds of anise, badian, fennel, coriander, cumin or caraway"
910,"Ginger, saffron, turmeric (curcuma), thyme and other spices"
1001,Wheat and meslin.
1002,Rye.
1003,Barley.
1004,Oats.
1005,Maize (corn).
1006,Rice.
1007,Grain sorghum.
1008,"Buckwheat, millet and canary seed; other cereals."
1101,Wheat or meslin flour.
1102,Cereal flours other than of wheat or meslin.
1103,"Cereal groats, meal and pellets."
1104,Cereal grains otherwise worked
1105,"Flour, meal, powder, flakes, granules and pellets of potatoes."
1106,"Flour, meal and powder of heading 07.13"
1107,"Malt, whether or not roasted."
1108,Starches; inulin.
1109,"Wheat gluten, whether or not dried."
1201,"Soya beans, whether or not broken."
1202,"Ground-nuts, not roasted or otherwise cooked"
1203,Copra.
1204,"Linseed, whether or not broken."
1205,"Rape or colza seeds, whether or not broken."
1206,"Sunflower seeds, whether or not broken."
1207,Other oil seeds and oleaginous fruits
1208,Flours and meals of oil seeds or oleaginous fruits
1209,"Seeds, fruit and spores, of a kind used for sowing."
1210,"Hop cones, fresh or dried"
1211,Plants and parts of plants (including seeds and fruits)
1212,"Locust beans, seaweeds and other algae"
1213,"Cereal straw and husks, unprepared"
1214,"Swedes, mangolds, fodder roots, hay, lucerne (alfalfa)"
1301,"Lac; natural gums, resins, gum-resins and oleoresins"
1302,Vegetable saps and extracts; pectic substances
1401,Vegetable materials primarily for plaiting
1402,Vegetable materials primarily as stuffing
1403,Vegetable materials primarily in brooms
1404,Vegetable products not elsewhere specified
1501,Pig fat (including lard) and poultry fat
1502,"Fats of bovine animals, sheep or goats"
1503,"Lard stearin, lard oil, oleostearin and tallow oil"
1504,"Fats and oils and their fractions, of fish or marine mammals"
1505,Wool grease and fatty substances derived therefrom
1506,"Other animal fats and oils and their fractions,"
1507,Soya-bean oil and its fractions
1508,Ground-nut oil and its fractions
1509,Olive oil and its fractions
1510,"Other oils and their fractions, obtained solely from olives"
1511,Palm oil and its fractions
1512,"Sunflower-seed, safflower or cotton-seed oil"
1513,"Coconut (copra), palm kernel or babassu oil"
1514,"Rape, colza or mustard oil"
1515,Other fixed vegetable fats and oils
1516,Animal or vegetable fats and oils
1517,Margarine; edible mixtures
1518,Animal or vegetable fats and oils
1520,"Glycerol, crude; glycerol waters and glycerol lyes."
1521,Vegetable waxes (other than triglycerides)
1522,Degras; residues
1601,"Sausages and similar products, of meat, meat offal or blood"
1602,"Other prepared or preserved meat, meat offal or blood."
1603,"Extracts and juices of meat, fish or crustaceans"
1604,Prepared or preserved fish; caviar
1605,"Crustaceans, molluscs and other aquatic invertebrates"
1701,"Cane or beet sugar and pure sucrose, in solid form."
1702,"Other sugars, including pure lactose, glucose and fructose"
1703,Molasses resulting from the extraction or refining of sugar.
1704,"Sugar confectionery, not containing cocoa."
1801,"Cocoa beans, whole or broken, raw or roasted."
1802,"Cocoa shells, husks, skins and other cocoa waste."
1803,"Cocoa paste, whether or not defatted."
1804,"Cocoa butter, fat and oil."
1805,"Cocoa powder, not containing added sugar"
1806,Chocolate and other food preparations containing cocoa.
1901,Malt extract; food preparations of flour
1902,"Pasta, whether or not cooked or stuffed"
1903,Tapioca and substitutes therefor prepared from starch
1904,Prepared foods
1905,"Bread, pastry, cakes, biscuits and other bakers' wares"
2001,"Vegetables, fruit or nuts"
2002,Tomatoes prepared or preserved
2003,"Mushrooms and truffles, prepared or preserved"
2004,Other vegetables prepared or preserved
2005,Other vegetables prepared or preserved
2006,"Vegetables, fruit, nuts, fruit-peel"
2007,"Jams, fruit jellies, marmalades, fruit or nut pastes"
2008,"Fruit, nuts and other edible parts of plants"
2009,Fruit juices (including grape must) and vegetable juices
2101,"Extracts, essences and concentrates, of coffee, tea or matF"
2102,Yeasts (active or inactive)
2103,Sauces and preparations therefor
2104,Soups and broths and preparations therefor
2105,"Ice cream and other edible ice, whether or not containing cocoa."
2106,Food preparations not elsewhere specified or included.
2201,"Waters, including natural or artificial mineral waters"
2202,Waters with added sugar
2203,Beer made from malt.
2204,"Wine of fresh grapes, including fortified wines"
2205,Vermouth and other wine of fresh grapes
2206,Other fermented beverages
2207,Alcohol of a strength by volume of 80 % vol or higher
2208,Alcohol of a strength by volume of less than 80 % vol
2209,Vinegar and substitutes for vinegar obtained from acetic acid.
2301,"Flours, meals and pellets, of meat or meat offal"
2302,"Bran, sharps and other residues"
2303,Residues of starch manufacture and similar residues
2304,Oil-cake and other solid residues
2305,Oil-cake and other solid residues
