VIVIENDA_REF_ID,RADIO_REF_ID,TIPVV,V01,URP,DPTO,PROV,HOGAR_REF_ID,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,PROP,TOTPERS,AGLOMERADO,PERSONA_REF_ID,P01,P02,P03,P05,P06,P07,P12,P08,P09,P10,CONDACT,IX_TOT_
6028264,19500,1,1.0,1,6532,6,5321684,1,2.0,1,1,1.0,1,1,1,1.0,1.0,2,3,1,2,0,16546027,1,2,66,1,0,1,2,2,2,1,3,2
6028264,19500,1,1.0,1,6532,6,5321684,1,2.0,1,1,1.0,1,1,1,1.0,1.0,2,3,1,2,0,16546028,3,2,39,1,0,2,2,2,9,0,1,2
6028438,19500,1,1.0,1,6532,6,5321865,2,4.0,1,1,1.0,1,1,1,1.0,2.0,2,3,3,3,0,16546591,1,1,24,1,0,1,1,1,4,2,1,3
6028438,19500,1,1.0,1,6532,6,5321865,2,4.0,1,1,1.0,1,1,1,1.0,2.0,2,3,3,3,0,16546592,2,2,25,1,0,1,2,2,4,2,1,3
6028438,19500,1,1.0,1,6532,6,5321865,2,4.0,1,1,1.0,1,1,1,1.0,2.0,2,3,3,3,0,16546593,3,1,6,1,0,2,1,1,1,0,0,3
6028448,19500,1,1.0,1,6532,6,5321874,1,2.0,1,1,1.0,1,1,1,1.0,1.0,3,4,1,5,0,16546617,1,1,64,1,0,1,2,2,2,1,3,5
6028448,19500,1,1.0,1,6532,6,5321874,1,2.0,1,1,1.0,1,1,1,1.0,1.0,3,4,1,5,0,16546618,2,2,54,1,0,1,2,2,2,1,1,5
6028448,19500,1,1.0,1,6532,6,5321874,1,2.0,1,1,1.0,1,1,1,1.0,1.0,3,4,1,5,0,16546619,3,2,27,1,0,1,1,2,4,1,1,5
6028448,19500,1,1.0,1,6532,6,5321874,1,2.0,1,1,1.0,1,1,1,1.0,1.0,3,4,1,5,0,16546620,3,2,23,1,0,1,1,2,4,1,1,5
6028448,19500,1,1.0,1,6532,6,5321874,1,2.0,1,1,1.0,1,1,1,1.0,1.0,3,4,1,5,0,16546621,5,1,4,1,0,2,2,1,1,0,0,5
6028453,19500,1,1.0,1,6532,6,5321879,1,2.0,1,1,1.0,1,1,1,1.0,1.0,4,5,1,3,0,16546634,1,1,57,1,0,1,2,2,2,1,3,3
6028453,19500,1,1.0,1,6532,6,5321879,1,2.0,1,1,1.0,1,1,1,1.0,1.0,4,5,1,3,0,16546635,6,2,84,1,0,1,2,2,2,2,3,3
6028453,19500,1,1.0,1,6532,6,5321879,1,2.0,1,1,1.0,1,1,1,1.0,1.0,4,5,1,3,0,16546636,7,2,60,1,0,2,2,2,9,0,3,3
6028484,19500,1,1.0,1,6532,6,5321914,1,5.0,1,1,1.0,1,1,1,1.0,2.0,2,3,1,4,0,16546755,1,1,70,1,0,1,2,2,2,2,1,4
6028484,19500,1,1.0,1,6532,6,5321914,1,5.0,1,1,1.0,1,1,1,1.0,2.0,2,3,1,4,0,16546756,2,2,65,1,0,1,2,3,0,0,1,4
6028484,19500,1,1.0,1,6532,6,5321914,1,5.0,1,1,1.0,1,1,1,1.0,2.0,2,3,1,4,0,16546757,3,1,31,1,0,1,2,2,2,2,1,4
6028484,19500,1,1.0,1,6532,6,5321914,1,5.0,1,1,1.0,1,1,1,1.0,2.0,2,3,1,4,0,16546758,3,2,15,1,0,1,2,2,2,2,1,4
6028487,19500,1,1.0,1,6532,6,5321917,1,2.0,1,1,1.0,1,1,1,1.0,2.0,2,2,3,4,0,16546771,1,2,47,1,0,1,2,2,4,2,1,4
6028487,19500,1,1.0,1,6532,6,5321917,1,2.0,1,1,1.0,1,1,1,1.0,2.0,2,2,3,4,0,16546772,3,1,20,1,0,1,1,2,5,2,1,4
