CLAVE1P;label
85;ALDEA SAN ANTONIO
300849590;ALDEA SAN RAFAEL
300849595;ALDEA SANTA MARIA
300849605;ANTONIO TOMAS
300849610;ARROYO BURGOS
300849620;ARROYO MATURRANGO
300849625;ARROYO PALO SECO
300849635;COLONIA CELINA
300849645;COLONIA CRESPO
300849650;COLONIA MEROU
300849660;CURTIEMBRE
300849670;DISTRITO TALA
300849675;EL PALENQUE
300849680;EL PINGO
300849685;ESPINILLO NORTE
300849690;LA PICADA
300849695;LAS GARZAS
300849700;LAS TUNAS
300849705;MARIA GRANDE 2º
300849710;PASO DE LA ARENA
300849715;PASO DE LAS PIEDRAS
300849720;PUEBLO BRUGO
300849730;QUEBRACHO
300849735;SANTA LUISA
300849740;SAUCE MONTRULL
300849745;SAUCE PINTO
300849750;SOSA
300849755;TEZANOS PINTO
300849760;VILLA FONTANA
300849765;VILLA GOBERNADOR ETCHEVEHERE
300880000;ZONA RURAL
300880378;GENERAL CAMPOS
300880385;SAN SALVADOR
300889770;COLONIA BAYLINA
300889775;COLONIA OFICIAL Nº5
300889780;SAN ERNESTO
300889785;WALTER MOSS
300910000;ZONA RURAL
300910392;GOBERNADOR MANSILLA
300910399;MACIA
300910406;ROSARIO DEL TALA
300919790;ALTAMIRANO SUR
300919795;ARROYO CLE
300919800;DURAZNO
300919805;SOLA
300919810;GOBERNADOR ECHAGUE
300919815;GUARDAMONTE
300919820;LA OLLITA
300919825;LAS GUACHAS
300980000;ZONA RURAL
300980413;BASAVILBASO
300980420;CASEROS
300980423;COLONIA ELIA
300980427;CONCEPCION DEL URUGUAY
300980434;HERRERA
300980437;1º DE MAYO
300980441;PRONUNCIAMIENTO
300980448;SAN JUSTO
300980455;SANTA ANITA
300980462;VILLA MANTERO
300989832;ARROYO GENA
300989840;ESTACION LIBAROS
300989845;LAS MOSCAS
300989855;ROCAMORA
300989860;SAN CIPRIANO
300989865;SAN MARCIAL
300989872;TALA
301050000;ZONA RURAL
301050469;VICTORIA
301059875;ANTELO
301059880;CHILCAS
301059885;DISTRITO PAJONAL
301059890;HINOJAL
301059895;LAGUNA DEL PESCADO
301059900;MOLINO DOLL
301059910;RINCON DE NOGOYA
301059915;RINCON DEL DOLL
301130000;ZONA RURAL
301130476;VILLA CLARA
301130483;VILLA DOMINGUEZ
301130490;VILLAGUAY
301139917;COLONIA ADIVINO
301139920;ESTACION RAICES
301139925;INGENIERO SAJAROFF
301139930;JUBILEO
301139935;LUCAS NORTE
301139940;LUCAS SUR PRIMERO
301139945;LUCAS SUR SEGUNDO
301139950;MOJONES NORTE
301139955;MOJONES SUR
301139957;PARAJE LOS ALGARROBOS
301139960;PASO DE LA LAGUNA
301139965;RAICES OESTE
340070000;ZONA RURAL
340070007;LAGUNA YEMA
340075007;LOS CHIRIGUANOS
340075035;POZO DE MAZA
340079007;POZO DEL MORTERO
340140000;ZONA RURAL
340140028;FORMOSA
340145014;COLONIA PASTORIL
340145021;GRAN GUARDIA
340145028;SAN HILARIO
340149014;MARIANO BOEDO
340149021;MOJON DE FIERRO
340149028;VILLA DEL CARMEN
340210000;ZONA RURAL
340210049;GRL. LUCIO VICTORIO MANSILLA
340210056;HERRADURA
340210063;MISION SAN FRANCISCO DE LAISHI
340210070;VILLA ESCOLAR
340219035;BANCO PAYAGUA
340219042;TATANE
340280000;ZONA RURAL
340280077;INGENIERO GUILLERMO N. JUAREZ
340350000;ZONA RURAL
340350091;COMANDANTE FONTANA
340350098;ESTANISLAO DEL CAMPO
340350112;GENERAL BELGRANO
340350119;VILLA GENERAL GUEMES
340350126;IBARRETA
340350133;LAS LOMITAS
340350140;POZO DEL TIGRE
340350147;SAN MARTIN DOS
340355042;FORTIN CABO 1º  LUGONES
340355049;SUBTENIENTE PERIN
340359049;BARTOLOME DE LAS CASAS
340359056;COLONIA SARMIENTO
340359063;EL RECREO
340359070;FORTIN SARGENTO 1º LEYES
340359077;JUAN G. BAZAN
340359084;POSTA CAMBIO ZALAZAR
340359091;SAN MARTIN I
340420000;ZONA RURAL
340420168;EL ESPINILLO
340420175;MISION TACAAGLE
340425056;BUENA VISTA
340425063;TRES LAGUNAS
340429098;LAGUNA GALLO
340429105;PORTON NEGRO
340490000;ZONA RURAL
340490189;CLORINDA
340490196;LAGUNA BLANCA
340490203;LAGUNA NAICK NECK
340490210;RIACHO HE-HE
340495070;SIETE PALMAS
340499112;PALMA SOLA
340499119;RIACHO NEGRO
340560000;ZONA RURAL
340560224;EL COLORADO
340560231;MAYOR VICENTE E. VILLAFAÑE
340560238;PALO SANTO
340560245;PIRANE
340560252;VILLA DOS TRECE
340630000;ZONA RURAL
340630259;GENERAL MOSCONI
340639126;EL POTRILLO
380070014;ABRA PAMPA
380076007;ABDON CASTRO TOLAY
380076014;ABRALAITE
380076021;PUESTO DEL MARQUEZ
380140056;EL CARMEN
380140063;MONTERRICO
380140077;PERICO
380146035;AGUAS CALIENTES
380146042;PAMPA BLANCA
380146049;PUESTO VIEJO
380210035;SAN SALVADOR DE JUJUY
380216028;YALA
380280091;EL AGUILAR
380280105;HUMAHUACA
380286056;HIPOLITO YRIGOYEN
380286063;TRES CRUCES
380350119;CAIMANCITO
380350126;CALILEGUA
380350133;FRAILE PINTADO
380350134;FRAILE PINTADO
380350140;LIBERTADOR GENERAL SAN MARTIN
380350147;YUTO
380420154;PALPALA
380496070;MINA PIRQUITAS
380496077;RINCONADA
380496140;CUSI CUSI
380566084;SAN ANTONIO
380630196;LA ESPERANZA
380630203;LA MENDIETA
380630224;SAN PEDRO DE JUJUY
380636091;ARRAYANAL
380636105;RODEITO
380636112;ROSARIO DE RIO GRANDE
380700238;EL TALAR
380700245;PALMA SOLA
380700252;SANTA CLARA
380706098;EL FUERTE
380706119;EL PIQUETE
380706126;VINALITO
380776133;CIENEGUILLAS
380776140;CUSI CUSI
380776147;SANTA CATALINA
380846154;CATUA
380846161;SUSQUES
380846168;CORANZULI
380940329;TILCARA
380946175;HUACALERA
380946182;MAIMARA
380986189;PURMAMARCA
380986196;TUMBAYA
380986203;VOLCAN
381056210;CASPALA
381056217;PAMPICHUELA
381056224;SAN FRANCISCO
381056231;SANTA ANA
381056238;VALLE GRANDE
381120406;LA QUIACA
381126245;BARRIOS
