P06C;label
301;AFGANISTAN
199;AFRICA
401;ALBANIA
438;ALEMANIA
404;ANDORRA
149;ANGOLA
237;ANTIGUA Y BARBUDA
241;ANTILLAS HOLANDESAS
302;ARABIA SAUDITA
102;ARGELIA
200;ARGENTINA
349;ARMENIA
399;ASIA
501;AUSTRALIA
405;AUSTRIA
350;AZERBAIDZHAN
239;BAHAMAS
303;BAHREIN
345;BANGLADESH
201;BARBADOS
406;BELGICA
236;BELICE
112;BENIN
439;BIELORUS
202;BOLIVIA
446;BOSNIA HERZEGOVINA
103;BOTSWANA
203;BRASIL
346;BRUNEI
407;BULGARIA
101;BURKINA FASO
104;BURUNDI
305;BUTAN
150;CABO VERDE
306;CAMBOYA
105;CAMERUN
204;CANADA
111;CHAD
455;CHECHENIA
208;CHILE
310;CHINA
435;CHIPRE
205;COLOMBIA
155;COMORAS
108;CONGO
308;COREA DEMOCRATICA
309;COREA REPUBLICANA
110;COSTA DE MARFIL
206;COSTA RICA
447;CROACIA
207;CUBA
409;DINAMARCA
153;DJIBOUTI
233;DOMINICA
210;ECUADOR
113;EGIPTO
211;EL SALVADOR
331;EMIRATOS ARABES
160;ERITREA
448;ESLOVAQUIA
449;ESLOVENIA
410;ESPAÑA
410;ESPAÃ‘A
212;ESTADOS UNIDOS
440;ESTONIA
161;ETIOPIA
512;FIJI
312;FILIPINAS
411;FINLANDIA
412;FRANCIA
115;GABON
116;GAMBIA
351;GEORGIA
117;GHANA
413;GRECIA
240;GRENADA
213;GUATEMALA
118;GUINEA
156;GUINEA BISSAU
119;GUINEA ECUATORIAL
214;GUYANA
215;HAITI
216;HONDURAS
341;HONG KONG
414;HUNGRIA
998;INDETERMINADO
315;INDIA
316;INDONESIA
318;IRAN
317;IRAQ
415;IRLANDA
416;ISLANDIA
521;ISLAS MARIANAS
520;ISLAS MARSHALL
518;ISLAS SALOMON
319;ISRAEL
417;ITALIA
217;JAMAICA
320;JAPON
321;JORDANIA
352;KAZAJISTAN
120;KENYA
353;KIRGUISTAN
514;KIRIBATI
454;KOSOVO
323;KUWAIT
324;LAO
121;LESOTHO
441;LETONIA
325;LIBANO
122;LIBERIA
123;LIBIA
418;LIECHTENSTEIN
442;LITUANIA
419;LUXEMBURGO
450;MACEDONIA
124;MADAGASCAR
326;MALASIA
125;MALAWI
327;MALDIVAS
126;MALI
420;MALTA
127;MARRUECOS
128;MAURICIO
129;MAURITANIA
218;MEXICO
515;MICRONESIA ESTADOS FEDERADOS
443;MOLDOVA
421;MONACO
329;MONGOLIA
452;MONTENEGRO
151;MOZAMBIQUE
358;MYANMAR
158;NAMIBIA
503;NAURU
330;NEPAL
219;NICARAGUA
130;NIGER
131;NIGERIA
422;NORUEGA
504;NUEVA ZELANDA
599;OCEANIA
328;OMAN
999;OTROS
423;PAISES BAJOS
516;PALAU
220;PANAMA
513;PAPUA NUEVA GUINEA
332;PAQUISTAN
221;PARAGUAY
222;PERU
424;POLONIA
425;PORTUGAL
223;PUERTO RICO
322;QATAR
426;REINO UNIDO
107;REPUBLICA CENTROAFRICANA
451;REPUBLICA CHECA
348;REPUBLICA DE YEMEN
209;REPUBLICA DOMINICANA
197;RESTO AFRICA
427;RUMANIA
444;RUSIA
133;RWANDA
506;SAMOA OCCIDENTAL
238;SAN CRISTOBAL Y NEVIS
428;SAN MARINO
235;SAN VICENTE Y LAS GRANADINAS
234;SANTA LUCIA
157;SANTO TOME Y PRINCIPE
134;SENEGAL
453;SERBIA
152;SEYCHELLES
135;SIERRA LEONA
333;SINGAPUR
334;SIRIA
136;SOMALIA
307;SRI LANKA
159;SUDAFRICA
138;SUDAN
429;SUECIA
430;SUIZA
232;SURINAME
137;SWAZILANDIA
335;TAILANDIA
313;TAIWAN
139;TANZANIA
354;TAYIKISTAN
357;TERRITORIOS AUTONOMOS PALESTINOS
140;TOGO
519;TONGA
224;TRINIDAD Y TOBAGO
141;TUNEZ
355;TURKMENISTAN
436;TURQUIA
517;TUVALU
445;UCRANIA
142;UGANDA
225;URUGUAY
356;UZBEKISTAN
505;VANUATU
431;VATICANO
226;VENEZUELA
337;VIETNAM
109;ZAIRE
144;ZAMBIA
132;ZIMBABWE
1000;MISSING
0;NOTAPPLICABLE
