P12;label
20001;CABA
60007;ADOLFO ALSINA
60014;ADOLFO GONZALES CHAVES
60021;ALBERTI
60028;ALMIRANTE BROWN
60035;AVELLANEDA
60042;AYACUCHO
60049;AZUL
60056;BAHIA BLANCA
60063;BALCARCE
60070;BARADERO
60077;ARRECIFES
60084;BENITO JUAREZ
60091;BERAZATEGUI
60098;BERISSO
60105;BOLIVAR
60112;BRAGADO
60119;BRANDSEN
60126;CAMPANA
60134;CAÑUELAS
60140;CAPITAN SARMIENTO
60147;CARLOS CASARES
60154;CARLOS TEJEDOR
60161;CARMEN DE ARECO
60168;CASTELLI
60175;COLON
60182;CORONEL DE MARINA L. ROSALES
60189;CORONEL DORREGO
60196;CORONEL PRINGLES
60203;CORONEL SUAREZ
60210;CHACABUCO
60217;CHASCOMUS
60224;CHIVILCOY
60231;DAIREAUX
60238;DOLORES
60245;ENSENADA
60252;ESCOBAR
60260;ESTEBAN ECHEVERRIA
60266;EXALTACION DE LA CRUZ
60270;EZEIZA
60274;FLORENCIO VARELA
60277;FLORENTINO AMEGHINO
60280;GENERAL ALVARADO
60287;GENERAL ALVEAR
60294;GENERAL ARENALES
60301;GENERAL BELGRANO
60308;GENERAL GUIDO
60315;GENERAL JUAN MADARIAGA
60322;GENERAL LA MADRID
60329;GENERAL LAS HERAS
60336;GENERAL LAVALLE
60343;GENERAL PAZ
60351;GENERAL PINTO
60357;GENERAL PUEYRREDON
60364;GENERAL RODRIGUEZ
60371;GENERAL SAN MARTIN
60385;GENERAL VIAMONTE
60392;GENERAL VILLEGAS
60399;GUAMINI
60406;HIPOLITO YRIGOYEN
60408;HURLINGHAM
60410;ITUZAINGO
60412;JOSE C. PAZ
60413;JUNIN
60420;LA COSTA
60427;LA MATANZA
60434;LANUS
60441;LA PLATA
60448;LAPRIDA
60455;LAS FLORES
60462;LEANDRO N. ALEM
60469;LINCOLN
60476;LOBERIA
60483;LOBOS
60490;LOMAS DE ZAMORA
60497;LUJAN
60505;MAGDALENA
60511;MAIPU
60515;MALVINAS ARGENTINAS
60518;MAR CHIQUITA
60525;MARCOS PAZ
60532;MERCEDES
60539;MERLO
60547;MONTE
60553;MONTE HERMOSO
60560;MORENO
60568;MORON
60574;NAVARRO
60581;NECOCHEA
60588;9 DE JULIO
60595;OLAVARRIA
60602;PATAGONES
60609;PEHUAJO
60616;PELLEGRINI
60623;PERGAMINO
60630;PILA
60638;PILAR
60644;PINAMAR
60648;PRESIDENTE PERON
60651;PUAN
60655;PUNTA INDIO
60658;QUILMES
60665;RAMALLO
60672;RAUCH
60679;RIVADAVIA
60686;ROJAS
60693;ROQUE PEREZ
60700;SAAVEDRA
60707;SALADILLO
60714;SALTO
60721;SALLIQUELO
60728;SAN ANDRES DE GILES
60735;SAN ANTONIO DE ARECO
60742;SAN CAYETANO
60749;SAN FERNANDO
60756;SAN ISIDRO
60760;SAN MIGUEL
60763;SAN NICOLAS
60077;SAN PEDRO
60778;SAN VICENTE
60784;SUIPACHA
60079;TANDIL
60079;TAPALQUE
60805;TIGRE
60812;TORDILLO
60819;TORNQUIST
60826;TRENQUE LAUQUEN
60833;TRES ARROYOS
60840;TRES DE FEBRERO
60847;TRES LOMAS
60854;25 DE MAYO
60861;VICENTE LOPEZ
60868;VILLA GESELL
60875;VILLARINO
60882;ZARATE
100007;EL RODEO
100014;LA PUERTA
100021;LAS JUNTAS
100028;LOS VARELA
100035;ANCASTI
100042;ACONQUIJA
100049;ANDALGALA
100056;ANTOFAGASTA DE LA SIERRA
100063;BELEN
100070;CORRAL QUEMADO
100077;HUALFIN
100084;LONDRES
100091;POZO DE PIEDRA
100098;PUERTA DE CORRAL QUEMADO
100105;PUERTA DE SAN JOSE
100112;SAN FERNANDO
100119;VILLA VIL
100126;CAPAYAN
100133;HUILLAPIMA
100140;SAN FERNANDO DEL VALLE DE CATAMARCA
100147;EL ALTO
100154;TAPSO
100161;FRAY MAMERTO ESQUIU
100168;ICAÑO
100175;RECREO
100182;PACLIN
100185;MUTQUIN
100189;POMAN
100196;SAUJIL
100203;SAN JOSE
100210;SANTA MARIA
100213;LOS ALTOS
100217;SANTA ROSA
100224;FIAMBALA
100231;TINOGASTA
100238;VALLE VIEJO
220007;CONCEPCION DEL BERMEJO
220014;LOS FRENTONES
220021;PAMPA DEL INFIERNO
220028;TACO POZO
220035;GENERAL VEDIA
220042;ISLA DEL CERRITO
220049;LA LEONESA
220056;LAS PALMAS
220063;PUERTO BERMEJO
220070;PUERTO EVA PERON
220077;PRESIDENCIA ROQUE SAENZ PEÑA
220084;CHARATA
220091;GANCEDO
220098;GENERAL CAPDEVILA
220105;GENERAL PINEDO
220112;HERMOSO CAMPO
220119;CHOROTIS
220126;SANTA SYLVINA
220133;CORZUELA
220140;LA ESCONDIDA
220147;LAPACHITO
220154;LA VERDE
220161;MAKALLE
220168;EL SAUZALITO
220175;FUERTE ESPERANZA
220182;JUAN JOSE CASTELLI
220189;MIRAFLORES
220196;MISION NUEVA POMPEYA
220203;VILLA RIO BERMEJITO
